Product_id,Review_rating,clean_review,Sentiment
1,1.0 out of 5 stars,not happy with product,Positive
1, 1.0 out of 5 stars, its not as expected,Positive
1, 3.0 out of 5 stars, average product,Positive
1, 3.0 out of 5 stars, pic more beautiful,Positive
1, 3.0 out of 5 stars, got damage product but quality is average for ,Positive
1, 2.0 out of 5 stars, bad product different from what was listed,Positive
1, 1.0 out of 5 stars, worst product,Positive
1, 2.0 out of 5 stars, dont buy,Positive
1, 1.0 out of 5 stars, low quality makes pain on heals by sharp edges inside shoes,Negative
1, 1.0 out of 5 stars, do not buy it anyway,Positive
2,5.0 out of 5 stars,memory cushioning in these shoes is the best feature,Positive
2, 1.0 out of 5 stars, poor quality product,Negative
2, 5.0 out of 5 stars, best for gym n sports,Positive
2, 5.0 out of 5 stars, must must must buy,Negative
2, 4.0 out of 5 stars, worth for this price,Negative
2, 5.0 out of 5 stars, satisfied,Negative
2, 5.0 out of 5 stars, please try this shoe,Negative
2, 5.0 out of 5 stars, very good for heels comfy cushion,Negative
2, 4.0 out of 5 stars, good lookinggood quality not exact fit a bit over sized,Negative
2, 5.0 out of 5 stars, awesome amazon awesome,Positive
3,5.0 out of 5 stars,worth to its amount,Positive
3, 5.0 out of 5 stars, go for it,Positive
3, 5.0 out of 5 stars, perfect,Negative
3, 5.0 out of 5 stars,  star,Positive
3, 1.0 out of 5 stars, itam not received,Positive
3, 1.0 out of 5 stars, worst product please dont buy,Negative
3, 5.0 out of 5 stars, nice shoes,Positive
3, 4.0 out of 5 stars, pros and cons,Negative
3, 1.0 out of 5 stars, no buy,Negative
3, 1.0 out of 5 stars, ignore this and go for another option,Positive
4,5.0 out of 5 stars,sup quality,Positive
4, 3.0 out of 5 stars, good but not expected,Positive
4, 5.0 out of 5 stars, awesome ,Negative
5,5.0 out of 5 stars,best,Negative
5, 5.0 out of 5 stars, satisfied,Negative
5, 5.0 out of 5 stars, affordable beauty  the eye catcher ,Negative
5, 5.0 out of 5 stars, economical and soft for feet,Negative
5, 5.0 out of 5 stars, good looking shoe however buy one size low,Negative
5, 5.0 out of 5 stars, must bye for puja,Positive
5, 1.0 out of 5 stars, why so much variation in sizes,Positive
5, 3.0 out of 5 stars, review after  days of use,Positive
5, 2.0 out of 5 stars, you get what you pay for,Negative
5, 5.0 out of 5 stars, cheap and branded spent  x  to  time is better than  one time,Negative
6,5.0 out of 5 stars,awesome,Positive
6, 4.0 out of 5 stars, nice product,Negative
6, 4.0 out of 5 stars, nic fitting,Positive
6, 1.0 out of 5 stars, poor quality product,Negative
6, 2.0 out of 5 stars, shoes,Negative
6, 3.0 out of 5 stars, nice,Negative
6, 1.0 out of 5 stars, bad,Positive
6, 4.0 out of 5 stars, fits comfortably,Positive
6, 5.0 out of 5 stars, so comfortable and fancy,Negative
6, 2.0 out of 5 stars, nice,Negative
7,5.0 out of 5 stars,bang for buckpaise,Positive
7, 1.0 out of 5 stars, refund or change,Positive
7, 4.0 out of 5 stars, this shoes are really good for casual ware ,Negative
7, 5.0 out of 5 stars, comfort,Positive
7, 4.0 out of 5 stars, got one,Positive
7, 2.0 out of 5 stars, poor quality,Positive
7, 5.0 out of 5 stars, a good product for this price,Negative
7, 4.0 out of 5 stars, good quality but the seller have to improve their serviceas i got wrong shoe number,Positive
7, 3.0 out of 5 stars, the soul of the shoes is not what it looks like in the photo,Negative
7, 1.0 out of 5 stars, product not as described and vpoor quality,Negative
8,1.0 out of 5 stars,think twice before ordering amazon,Positive
8, 1.0 out of 5 stars, very poor product dont buy it,Positive
8, 5.0 out of 5 stars, thank you knoos and amazon,Negative
8, 1.0 out of 5 stars, not at all a good product,Positive
8, 5.0 out of 5 stars, ossm products buy it without thinking,Positive
8, 5.0 out of 5 stars, nice shoesfits as expectedvalue for money,Negative
8, 1.0 out of 5 stars, worst worst worst,Positive
8, 3.0 out of 5 stars, can get better stuff for this price,Negative
8, 1.0 out of 5 stars, poor quality,Negative
8, 1.0 out of 5 stars, buy only if you like low quality shoes,Positive
9,5.0 out of 5 stars,material is good and comfortable nice product,Negative
9, 5.0 out of 5 stars, comffotable fit,Positive
9, 5.0 out of 5 stars, superb quality,Positive
9, 4.0 out of 5 stars, worth for money,Negative
9, 5.0 out of 5 stars, quality,Negative
9, 5.0 out of 5 stars, very comfort,Negative
9, 5.0 out of 5 stars, yah product mujhe bahut achcha,Negative
9, 4.0 out of 5 stars, good,Negative
9, 5.0 out of 5 stars, best in bata at this range,Positive
9, 4.0 out of 5 stars, nice,Negative
10,5.0 out of 5 stars,its nice and very comfortable,Positive
10, 1.0 out of 5 stars, how can you cheat with customer you erase size number back side of shoes,Negative
11,5.0 out of 5 stars,great looking shoes i like it,Negative
11, 1.0 out of 5 stars, total fake,Negative
11, 5.0 out of 5 stars, feedback,Positive
