Product_id,Review,Review_rating
1,Not happy with product 😔😑,1.0 out of 5 stars
1, It's not as expected., 1.0 out of 5 stars
1, AVERAGE PRODUCT, 3.0 out of 5 stars
1, Pic more beautiful, 3.0 out of 5 stars
1, Got damage product. But quality is average for 300₹, 3.0 out of 5 stars
1, Bad product different from what was listed, 2.0 out of 5 stars
1, Worst product, 1.0 out of 5 stars
1, Don't buy, 2.0 out of 5 stars
1, Low quality makes pain on heals by sharp edges inside shoes, 1.0 out of 5 stars
1, Do not buy it anyway, 1.0 out of 5 stars
2,Memory cushioning in these shoes is the best feature!,5.0 out of 5 stars
2, Poor quality product, 1.0 out of 5 stars
2, Best for gym n sports, 5.0 out of 5 stars
2, Must must must buy, 5.0 out of 5 stars
2, Worth for this price, 4.0 out of 5 stars
2, Satisfied, 5.0 out of 5 stars
2, Please try this shoe, 5.0 out of 5 stars
2, Very good for heels. Comfy cushion, 5.0 out of 5 stars
2, Good lookinggood quality not exact fit a bit over sized., 4.0 out of 5 stars
2, Awesome Amazon Awesome, 5.0 out of 5 stars
3,Worth to its amount,5.0 out of 5 stars
3, Go for it, 5.0 out of 5 stars
3, Perfect, 5.0 out of 5 stars
3, 5 star, 5.0 out of 5 stars
3, Itam not received, 1.0 out of 5 stars
3, Worst product .please dont buy, 1.0 out of 5 stars
3, Nice Shoes, 5.0 out of 5 stars
3, Pros and cons, 4.0 out of 5 stars
3, No buy, 1.0 out of 5 stars
3, Ignore this and go for another option., 1.0 out of 5 stars
4,Sup quality,5.0 out of 5 stars
4, Good but not expected, 3.0 out of 5 stars
4, Awesome 👌.!, 5.0 out of 5 stars
5,Best,5.0 out of 5 stars
5, Satisfied!, 5.0 out of 5 stars
5, Affordable beauty 😘😘😘😘 the eye catcher 😊, 5.0 out of 5 stars
5, Economical and soft for feet, 5.0 out of 5 stars
5, Good looking shoe however buy one size low, 5.0 out of 5 stars
5, Must bye for puja, 5.0 out of 5 stars
5, Why so much variation in sizes., 1.0 out of 5 stars
5, Review after 30 days of use, 3.0 out of 5 stars
5, You get what you pay for, 2.0 out of 5 stars
5, Cheap and branded spent 588/- x 5 to 6 time is better than 4500/- one time, 5.0 out of 5 stars
6,Awesome,5.0 out of 5 stars
6, Nice Product, 4.0 out of 5 stars
6, Nic fitting, 4.0 out of 5 stars
6, Poor quality product, 1.0 out of 5 stars
6, Shoes, 2.0 out of 5 stars
6, Nice, 3.0 out of 5 stars
6, Bad, 1.0 out of 5 stars
6, Fits comfortably, 4.0 out of 5 stars
6, So comfortable and fancy, 5.0 out of 5 stars
6, Nice, 2.0 out of 5 stars
7,Bang for buck(paise),5.0 out of 5 stars
7, Refund or change, 1.0 out of 5 stars
7, This shoes are really good for casual ware ., 4.0 out of 5 stars
7, Comfort, 5.0 out of 5 stars
7, Got one, 4.0 out of 5 stars
7, Poor quality, 2.0 out of 5 stars
7, A good product for this price, 5.0 out of 5 stars
7, Good quality but the seller have to improve their serviceas I got wrong shoe number, 4.0 out of 5 stars
7, The soul of the shoes is Not what it looks like in the photo, 3.0 out of 5 stars
7, Product not as described and v.poor quality, 1.0 out of 5 stars
8,Think twice before ordering Amazon,1.0 out of 5 stars
8, Very poor product don't buy it, 1.0 out of 5 stars
8, Thank you Knoos and Amazon., 5.0 out of 5 stars
8, Not at all a good product, 1.0 out of 5 stars
8, Ossm products... Buy it without thinking, 5.0 out of 5 stars
8, Nice Shoes..Fits as expected...Value for Money, 5.0 out of 5 stars
8, Worst worst worst...., 1.0 out of 5 stars
8, Can get better stuff for this price.., 3.0 out of 5 stars
8, Poor quality, 1.0 out of 5 stars
8, Buy only if you like low quality shoes, 1.0 out of 5 stars
9,Material is good and comfortable. Nice product,5.0 out of 5 stars
9, comffotable fit, 5.0 out of 5 stars
9, Superb quality., 5.0 out of 5 stars
9, Worth for money, 4.0 out of 5 stars
9, Quality, 5.0 out of 5 stars
9, Very comfort, 5.0 out of 5 stars
9, Yah product mujhe bahut achcha, 5.0 out of 5 stars
9, Good, 4.0 out of 5 stars
9, Best in bata at this range, 5.0 out of 5 stars
9, Nice, 4.0 out of 5 stars
10,It's nice and very comfortable.,5.0 out of 5 stars
10, How can you cheat with customer you erase size number back side of shoes., 1.0 out of 5 stars
11,Great looking shoes I like it,5.0 out of 5 stars
11, Total Fake, 1.0 out of 5 stars
11, Feedback, 5.0 out of 5 stars
11, Disappointed, 1.0 out of 5 stars
11, Below Average product, 3.0 out of 5 stars
11, Pathetic Product ... Never Buy, 1.0 out of 5 stars
11, Product shown in the website is totally different than what i received., 1.0 out of 5 stars
11, Don't buy, 1.0 out of 5 stars
11, Poor quality, 2.0 out of 5 stars
11, Worst packaging size doesn't fits well, 2.0 out of 5 stars
12,Average Quality you can buy if you want to try white shoes in budget.,3.0 out of 5 stars
12, Product is not very good but good, 4.0 out of 5 stars
12, Very comfortable, 5.0 out of 5 stars
12, Superb product, 5.0 out of 5 stars
12, Nice product, 4.0 out of 5 stars
12, Best at this price, 5.0 out of 5 stars
12, Niceee, 4.0 out of 5 stars
13,Please don't buy,1.0 out of 5 stars
13, This shoes are very light weighted., 5.0 out of 5 stars
14,1 no. Hai Bhai .... love it,5.0 out of 5 stars
14, Really awesome, 5.0 out of 5 stars
14, Excellent sneakers, 5.0 out of 5 stars
14, Chep And best., 5.0 out of 5 stars
14, Kraasa is the Best 👍💖😍✌️as per Quality Fit & Comfort!, 5.0 out of 5 stars
14, Not worth the price, 1.0 out of 5 stars
14, Dont Buy. Pathetic, 1.0 out of 5 stars
14, A complete review of the shoe after it's use., 3.0 out of 5 stars
14, Gud for price, 3.0 out of 5 stars
14, Satisfying at this price..., 4.0 out of 5 stars
15,Nice shose but. defctive material send me.,2.0 out of 5 stars
15, Bad Quality, 1.0 out of 5 stars
15, Awesome Shoes, 5.0 out of 5 stars
15, I dont like thik, 2.0 out of 5 stars
15, Very very disastrous quality, 1.0 out of 5 stars
15, Nice Shoes, 5.0 out of 5 stars
15, Hard top, 2.0 out of 5 stars
15, Bad quantity, 1.0 out of 5 stars
15, Very bad quality product Don't buy!!, 1.0 out of 5 stars
15, Junaid khan, 5.0 out of 5 stars
16,Poor Build quality avoid it,1.0 out of 5 stars
16, My Views, 5.0 out of 5 stars
16, Use and throw product., 4.0 out of 5 stars
16, Value for money., 5.0 out of 5 stars
16, Budget Loafer for Mens, 5.0 out of 5 stars
16, Awesome product ❤, 5.0 out of 5 stars
16, Kinda ok for specific purpose, 4.0 out of 5 stars
16, Good product, 5.0 out of 5 stars
16, Paisa vasul product..., 5.0 out of 5 stars
16, Elegance with Economy, 4.0 out of 5 stars
17,Quality..is Bad..,1.0 out of 5 stars
17, Best according to price, 5.0 out of 5 stars
17, Best for this price, 4.0 out of 5 stars
17, Wrost product and so high price, 1.0 out of 5 stars
17, Pasting not good, 3.0 out of 5 stars
17, Price wise its good, 4.0 out of 5 stars
17, Before buying just read the comments., 5.0 out of 5 stars
