Product_id,Review_rating,clean_review,Emotion,Sentiment_Score
1,1.0 out of 5 stars,not happy with product,1 star,0.55116868019104
1, 1.0 out of 5 stars, its not as expected,2 stars,0.3626722991466522
1, 3.0 out of 5 stars, average product,3 stars,0.8513322472572327
1, 3.0 out of 5 stars, pic more beautiful,5 stars,0.8364693522453308
1, 3.0 out of 5 stars, got damage product but quality is average for ,3 stars,0.5155401825904846
1, 2.0 out of 5 stars, bad product different from what was listed,1 star,0.8565219640731812
1, 1.0 out of 5 stars, worst product,1 star,0.9456179738044739
1, 2.0 out of 5 stars, dont buy,1 star,0.7622948884963989
1, 1.0 out of 5 stars, low quality makes pain on heals by sharp edges inside shoes,1 star,0.5352527499198914
1, 1.0 out of 5 stars, do not buy it anyway,1 star,0.8765647411346436
2,5.0 out of 5 stars,memory cushioning in these shoes is the best feature,5 stars,0.9173862338066101
2, 1.0 out of 5 stars, poor quality product,1 star,0.8510376214981079
2, 5.0 out of 5 stars, best for gym n sports,5 stars,0.8736537098884583
2, 5.0 out of 5 stars, must must must buy,5 stars,0.9503185153007507
2, 4.0 out of 5 stars, worth for this price,5 stars,0.7852064371109009
2, 5.0 out of 5 stars, satisfied,5 stars,0.6340687870979309
2, 5.0 out of 5 stars, please try this shoe,1 star,0.4608977437019348
2, 5.0 out of 5 stars, very good for heels comfy cushion,5 stars,0.7596423625946045
2, 4.0 out of 5 stars, good lookinggood quality not exact fit a bit over sized,4 stars,0.5074142217636108
2, 5.0 out of 5 stars, awesome amazon awesome,5 stars,0.9402027130126953
3,5.0 out of 5 stars,worth to its amount,5 stars,0.7016168832778931
3, 5.0 out of 5 stars, go for it,5 stars,0.6479388475418091
3, 5.0 out of 5 stars, perfect,5 stars,0.955660343170166
3, 5.0 out of 5 stars,  star,5 stars,0.7061735987663269
3, 1.0 out of 5 stars, itam not received,1 star,0.7809569835662842
3, 1.0 out of 5 stars, worst product please dont buy,1 star,0.9629000425338745
3, 5.0 out of 5 stars, nice shoes,5 stars,0.6508151292800903
3, 4.0 out of 5 stars, pros and cons,5 stars,0.6956640481948853
3, 1.0 out of 5 stars, no buy,1 star,0.8227283954620361
3, 1.0 out of 5 stars, ignore this and go for another option,1 star,0.5630618333816528
4,5.0 out of 5 stars,sup quality,5 stars,0.6838013529777527
4, 3.0 out of 5 stars, good but not expected,4 stars,0.42089417576789856
4, 5.0 out of 5 stars, awesome ,5 stars,0.9403263330459595
5,5.0 out of 5 stars,best,5 stars,0.9302717447280884
5, 5.0 out of 5 stars, satisfied,5 stars,0.6340687870979309
5, 5.0 out of 5 stars, affordable beauty  the eye catcher ,5 stars,0.8421772122383118
5, 5.0 out of 5 stars, economical and soft for feet,5 stars,0.7642817497253418
5, 5.0 out of 5 stars, good looking shoe however buy one size low,4 stars,0.5547910332679749
5, 5.0 out of 5 stars, must bye for puja,5 stars,0.8321570158004761
5, 1.0 out of 5 stars, why so much variation in sizes,5 stars,0.47025319933891296
5, 3.0 out of 5 stars, review after  days of use,5 stars,0.37914371490478516
5, 2.0 out of 5 stars, you get what you pay for,5 stars,0.4350247383117676
5, 5.0 out of 5 stars, cheap and branded spent  x  to  time is better than  one time,1 star,0.5853497385978699
6,5.0 out of 5 stars,awesome,5 stars,0.9403263330459595
6, 4.0 out of 5 stars, nice product,5 stars,0.6937230825424194
6, 4.0 out of 5 stars, nic fitting,5 stars,0.5087234973907471
6, 1.0 out of 5 stars, poor quality product,1 star,0.8510376214981079
6, 2.0 out of 5 stars, shoes,5 stars,0.6069034337997437
6, 3.0 out of 5 stars, nice,5 stars,0.6637264490127563
6, 1.0 out of 5 stars, bad,1 star,0.7721864581108093
6, 4.0 out of 5 stars, fits comfortably,5 stars,0.8389195203781128
6, 5.0 out of 5 stars, so comfortable and fancy,5 stars,0.8944012522697449
6, 2.0 out of 5 stars, nice,5 stars,0.6637264490127563
7,5.0 out of 5 stars,bang for buckpaise,5 stars,0.3186635375022888
7, 1.0 out of 5 stars, refund or change,1 star,0.7143993973731995
7, 4.0 out of 5 stars, this shoes are really good for casual ware ,5 stars,0.7674787044525146
7, 5.0 out of 5 stars, comfort,5 stars,0.6461327075958252
